State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source,Latitude,Longitude,wind_cf,pvout,Wind Size (MW),Solar Size (MW),NGCC Size (MW),Wind Capital Cost ($),Solar Capital Cost ($),NGCC Capital Cost ($),Existing Capital Cost ($),Remaining Capital Cost ($),Fixed O&M - Wind ($/year),Fixed O&M - Solar ($/year),Fixed O&M - NGCC ($/year),Variable O&M - Wind ($/year),Variable O&M - Solar ($/year),Variable O&M - NGCC ($/year),Fixed O&M - Existing ($/year),Variable O&M - Existing ($/year),Fuel costs ($/MWh),NGCC Fuel Cost ($/year),Existing Fuel Cost ($/year),Annualized Capital - Wind ($),Annualized Capital - Solar ($),Annualized Capital - NGCC ($),Annualized Capital - Existing ($),Old Emissions (tonnes CO2),New Emissions (tonnes CO2),Delta Emissions (tonnes CO2),Net Capital Cost - Wind ($/year),Net Fixed O&M - Wind ($/year),Net Variable O&M - Wind ($/year),Net Fuel Cost - Wind ($/year),Net Capital Cost - Solar ($/year),Net Fixed O&M - Solar ($/year),Net Variable O&M - Solar ($/year),Net Fuel Cost - Solar ($/year),Net Capital Cost - NGCC ($/year),Net Fixed O&M - NGCC ($/year),Net Variable O&M - NGCC ($/year),Net Fuel Cost - NGCC ($/year),Total Cost - Wind ($/year),Total Cost - Solar ($/year),Total Cost - NGCC ($/year),MACC - Wind ($/tonne CO2),MACC - Solar ($/tonne CO2),MACC - NGCC ($/tonne CO2)
AL,3,9909175.25,280.447,5492459.55,1325.482,78038481.45,Conventional Steam Coal,Coal,1971.0,53.0,18365.55948686083,3343.4999999999995,Coal,BIT,31.0069,-88.0103,0.17066957,1559.983,6627.920794122853,6352.1045070962355,1917.2616767278075,18955853471.19136,14248322971.396963,2254699731.8319016,61405248144.31918,0.0,196451572.33780137,109002113.34177141,26324002.821472798,0.0,0.0,20809268.025000002,0.0,0.0,0.0,220925062.19875002,0.0,967113603.8834217,726938884.5564132,115033110.30763568,0.0,4982675.269128884,3339755.7259816746,1642919.5431472096,967113603.8834217,196451572.33780137,0.0,0.0,726938884.5564132,109002113.34177141,0.0,0.0,115033110.30763568,26324002.821472798,20809268.025000002,220925062.19875002,1163565176.221223,835940997.8981845,383091443.35285854,233.52217701809974,167.76951190807407,233.17723923290907
AL,10,1486496.0,4.784,877874.75,1128.351,14636558.775,Natural Gas Steam Turbine,Oil/Gas steam,1965.0,59.0,11012.762448740481,1288.4,Gas,NG,32.6017,-87.7811,0.22265717,1548.295,762.1192904929972,960.0857445181518,287.612413899853,2179661170.809972,1970939057.4179478,338232198.74622715,14188843138.957235,0.0,22589215.770212438,16475071.375931486,3948918.442844982,0.0,0.0,3121641.6,0.0,0.0,0.0,33141428.32,0.0,111204698.50383925,100555850.87482043,17256356.258292966,0.0,796394.541716325,501003.7064032,295390.835313125,111204698.50383925,22589215.770212438,0.0,0.0,100555850.87482043,16475071.375931486,0.0,0.0,17256356.258292966,3948918.442844982,3121641.6,33141428.32,133793914.2740517,117030922.25075191,57468344.62113795,167.9995369954569,146.95093464419827,194.55019503302944
AL,26,3724241.0,847.64,3277111.004,2318.763,39268998.175,Conventional Steam Coal,Coal,1974.0,50.0,11618.89338019918,2034.0,Coal,BIT,33.244211,-86.458056,0.20900571,1537.702,2034.1150862167538,2421.9523263544747,720.5790960451978,5817569146.579916,5056982664.258446,847401016.9491526,23632829135.325134,0.0,60291171.15546458,41560701.92024279,9893550.988700567,0.0,0.0,7820906.100000001,0.0,0.0,0.0,83031953.095,0.0,296808068.9028611,258003509.92582333,43233772.23197455,0.0,2972944.963030439,1255205.8966446999,1717739.066385739,296808068.9028611,60291171.15546458,0.0,0.0,258003509.92582333,41560701.92024279,0.0,0.0,43233772.23197455,9893550.988700567,7820906.100000001,83031953.095,357099240.0583257,299564211.8460661,143980182.4156751,120.11633060785643,100.76345696649177,83.81958891964946
AL,47,57840.42,3.888,37420.817,61.766,625437.879,Natural Gas Fired Combustion Turbine,Combustion turbine,2023.0,1.0,10176.740269829526,1169.6,Gas,NG,34.7439,-87.8486,0.26394117,1500.082,25.016132824762632,38.558171350004294,11.191165544462503,71546139.87882113,74894525.32727534,13160810.680287903,11902715419.592613,28049528585.65793,741478.1769259644,661658.2203660738,153654.70292547016,0.0,0.0,121464.882,0.0,0.0,0.0,1289552.1639,0.0,3650231.0638406384,3821063.2093394836,671454.812962358,1431066172.722519,33947.5926438999,19494.344283413997,14453.248360485904,-1427415941.6586783,741478.1769259644,0.0,0.0,-1427245109.5131795,661658.2203660738,0.0,0.0,-1430394717.9095566,153654.70292547016,121464.882,1289552.1639,-1426674463.4817524,-1426583451.2928135,-1428830046.1607313,-42025.791885956125,-42023.110924454864,-98858.7486026356
KY,54,416889.2,1.58,306604.2,88.769,5157543.199,Natural Gas Fired Combustion Turbine,Combustion turbine,1999.0,25.0,6315.14860598998,1055.0,Gas,NG,37.8833,-84.1017,0.2608638,1405.847,182.43270685479683,296.5395141784985,80.66117173593376,521757541.6047189,568402939.1538211,94857537.9614581,6662481779.319428,7723642397.2611475,5407305.431176178,5088618.063303035,1107477.8879343707,0.0,0.0,875467.3200000001,0.0,0.0,0.0,9294544.714,0.0,26619683.31742862,28999496.951082535,4839561.327736332,394054514.3627636,278146.63919574,140506.96023363998,137639.6789621,-367434831.04533494,5407305.431176178,0.0,0.0,-365055017.41168106,5088618.063303035,0.0,0.0,-389214953.03502727,1107477.8879343707,875467.3200000001,9294544.714,-362027525.61415875,-359966399.348378,-377937463.1130929,-1301.5707349941745,-1294.160520469417,-2745.846735207516
AL,56,1753729.47,3.261,646064.636,86.62,10871305.052,Natural Gas Fired Combined Cycle,Combined cycle,2023.0,1.0,2418.5876317249026,732.7,Gas,NG,31.488019,-87.910747,0.19005698,1561.809,1053.3547626684763,1122.8834735612365,339.3176747155793,3012594621.231842,2428591598.8700495,399037585.4655213,1772099157.7648363,4176067748.416889,31221435.165493634,19268680.40631082,4658831.673844904,0.0,0.0,3682831.887,0.0,0.0,0.0,39099398.533649996,0.0,153700346.2074254,123904944.56573783,20358602.051392872,213059883.3954245,586099.9529902692,591071.193261549,-4971.240271279821,-59359537.1879991,31221435.165493634,0.0,0.0,-89154938.82968666,19268680.40631082,0.0,0.0,-192701281.3440316,4658831.673844904,3682831.887,39099398.533649996,-28138102.022505466,-69886258.42337584,-145260219.2495367,-48.00905012693737,-119.23948819108017,29220.116373924564
NE,59,405362.95,353.457,487057.496,399.189,4643955.627,Conventional Steam Coal,Coal,1982.0,42.0,3293.5881663737555,109.8,Coal,SUB,40.854765,-98.348222,0.41150495,1576.784,112.45140129221474,257.08209570090304,78.43103281479762,321611007.69573414,457942842.3595752,92234894.590202,361635980.66783834,0.0,3333059.534301245,4411528.762227496,1076858.0805471714,0.0,0.0,851262.1950000001,0.0,0.0,0.0,9037566.97025,0.0,16408355.401876401,23363904.628196705,4705756.005473676,0.0,441851.10839151114,136622.190970265,305228.9174212462,16408355.401876401,3333059.534301245,0.0,0.0,23363904.628196705,4411528.762227496,0.0,0.0,4705756.005473676,1076858.0805471714,851262.1950000001,9037566.97025,19741414.936177645,27775433.3904242,15671443.251270847,44.67888517478916,62.86152249687968,51.343245534114
NE,60,1224281.29,2125.891,1200502.188,967.595,11446456.991,Conventional Steam Coal,Coal,2011.0,13.0,7140.900869956817,324.3,Coal,SUB,40.580872,-98.312437,0.45317397,1586.281,308.39842567890895,771.7934498854697,236.87820021670152,882019497.4416795,1352556515.8014889,278568763.45484096,2315794152.126996,3827654881.1718745,9140929.337122861,13243975.600034662,3252337.688975312,0.0,0.0,2570990.7090000003,0.0,0.0,0.0,27295351.36055,0.0,44999981.465495884,69006431.62497343,14212371.981224624,195284116.97093835,1089077.2172701235,412627.725853343,676449.4914167805,-150284135.50544247,9140929.337122861,0.0,0.0,-126277685.34596492,13243975.600034662,0.0,0.0,-181071744.98971373,3252337.688975312,2570990.7090000003,27295351.36055,-141143206.1683196,-113033709.74593025,-147953065.23118842,-129.59889705718808,-103.78851742878258,-218.720047998425
KS,108,1747062.29,1166.489,1773082.229,1629.74,16905792.226,Conventional Steam Coal,Coal,1983.0,41.0,3293.5881663737555,348.7,Coal,SUB,37.9308,-100.9725,0.43814236,1717.771,455.18616537098734,1017.0519201761231,338.027685550654,1301832432.9610238,1819543038.4277186,397520558.20756906,1148474193.6145284,0.0,13491717.941596065,17452610.950222272,4641120.122610479,0.0,0.0,3668830.8090000004,0.0,0.0,0.0,38950753.755550005,0.0,66418526.48875378,92831738.12190405,20281204.444323517,0.0,1608513.0699906962,588824.1089160431,1019688.9610746531,66418526.48875378,13491717.941596065,0.0,0.0,92831738.12190405,17452610.950222272,0.0,0.0,20281204.444323517,4641120.122610479,3668830.8090000004,38950753.755550005,79910244.43034984,110284349.07212631,67541909.131484,49.67957421123849,68.56291759740827,66.23775652165675
AZ,113,1987350.31,918.513,2272264.575,1982.254,22146886.998,Conventional Steam Coal,Coal,1980.0,44.0,6587.176332747511,425.9,Coal,SUB,34.9394,-110.3033,0.14044663,1906.97,1615.3215626111253,1042.1508154463688,384.5194470242242,4619819669.067818,2739909411.4760194,452194869.7004876,2805478400.117165,0.0,47878131.11579375,17883307.993059687,5279452.007642598,0.0,0.0,4173435.651,0.0,0.0,0.0,44307975.16145,0.0,235699777.70897433,139788148.7780956,23070647.320536993,0.0,2061363.6567920025,669809.9902263769,1391553.6665656255,235699777.70897433,47878131.11579375,0.0,0.0,139788148.7780956,17883307.993059687,0.0,0.0,23070647.320536993,5279452.007642598,4173435.651,44307975.16145,283577908.82476807,157671456.7711553,76831510.14062959,137.56811317130052,76.48890881123398,55.21275390711367
